Index,feature name
1324,RP11-316M1.12
1325,RP11-316M1.3
1326,ANXA9
1327,FAM63A
1328,PRUNE
1329,BNIPL
1330,C1orf56
1331,CDC42SE1
1332,MLLT11
1333,GABPB2
1334,SEMA6C
1335,TNFAIP8L2
1336,SCNM1
1337,LYSMD1
1338,VPS72
1339,PIP5K1A
1340,PSMD4
1341,RP11-126K1.2
1342,ZNF687
1343,PI4KB
1344,RFX5
1345,RP11-126K1.6
1346,SELENBP1
1347,PSMB4
1348,POGZ
1349,CGN
1350,TUFT1
1351,SNX27
1352,RIIAD1
1353,MRPL9
1354,OAZ3
1355,TDRKH
1356,RP11-98D18.9
1357,LINGO4
1358,RORC
1359,C2CD4D
1360,THEM5
1361,THEM4
1362,S100A10
1363,NBPF18P
1364,S100A11
1365,TCHH
1366,FLG-AS1
1367,RP11-107M16.2
1368,HRNR
1369,FLG
1370,FLG2
1371,LCE5A
1372,CRCT1
1373,LINC00302
1374,LCE2D
1375,LCE2B
1376,LCE2C
1377,LCE2A
1378,C1orf68
1379,KPRP
1380,LCE1F
1381,LCE1E
1382,LCE1D
1383,LCE1C
1384,LCE1B
1385,LCE1A
1386,LCE6A
1387,IVL
1388,SPRR1A
1389,SPRR1B
1390,SPRR2D
1391,SPRR2A
1392,SPRR2E
1393,SPRR2G
1394,LOR
1395,PGLYRP3
1396,PGLYRP4
1397,S100A9
1398,S100A12
1399,S100A8
1400,S100A7A
1401,S100A7
1402,BX470102.3
1403,S100A6
1404,S100A5
1405,S100A4
1406,S100A3
1407,S100A2
1408,S100A16
1409,S100A14
1410,S100A13
1411,S100A1
1412,RP1-178F15.4
1413,CHTOP
1414,SNAPIN
1415,ILF2
1416,NPR1
1417,INTS3
1418,RP11-216N14.9
1419,SLC27A3
1420,GATAD2B
1421,DENND4B
1422,CRTC2
1423,SLC39A1
1424,RP11-422P24.10
1425,CREB3L4
1426,JTB
1427,RP11-422P24.11
1428,RAB13
1429,RPS27
1430,NUP210L
1431,TPM3
1432,C1orf43
1433,UBAP2L
1434,HAX1
1435,AQP10
1436,ATP8B2
1437,RP11-350G8.5
1438,IL6R
1439,SHE
1440,RP11-350G8.9
1441,TDRD10
1442,UBE2Q1
1443,CHRNB2
1444,ADAR
1445,KCNN3
1446,PMVK
1447,RP11-307C12.13
1448,PBXIP1
1449,PYGO2
1450,RP11-307C12.12
1451,SHC1
1452,CKS1B
1453,FLAD1
1454,ZBTB7B
1455,DCST2
1456,DCST1
1457,RP11-307C12.11
1458,ADAM15
1459,EFNA4
1460,EFNA3
1461,EFNA1
1462,SLC50A1
1463,DPM3
1464,KRTCAP2
1465,TRIM46
1466,MUC1
1467,THBS3
1468,RP11-263K19.4
1469,MTX1
1470,RP11-263K19.6
1471,GBA
1472,FAM189B
1473,SCAMP3
1474,CLK2
1475,HCN3
1476,FDPS
1477,RUSC1-AS1
1478,RUSC1
1479,ASH1L
1480,RP11-29H23.4
1481,MSTO1
1482,YY1AP1
1483,DAP3
1484,GON4L
1485,SYT11
1486,RIT1
1487,KIAA0907
1488,ARHGEF2
1489,RP11-336K24.12
1490,SSR2
1491,UBQLN4
1492,LAMTOR2
1493,RAB25
1494,MEX3A
1495,LMNA
1496,SEMA4A
1497,SLC25A44
1498,PMF1
1499,BGLAP
1500,PAQR6
1501,SMG5
1502,TMEM79
1503,C1orf85
1504,CCT3
1505,TSACC
1506,RHBG
1507,C1orf61
1508,RP11-98G7.1
1509,MEF2D
1510,RP11-284F21.8
1511,IQGAP3
1512,APOA1BP
1513,GPATCH4
1514,RP11-284F21.11
1515,HAPLN2
